,ticker
0,CECE
1,ABT
2,ACU
3,RWC
4,AMD
5,ASMIY
6,AEM
7,APD
8,ATRI
9,ALCO
10,HON
11,SWKS
12,AA
13,HES
14,ABLT
15,HAIPF
16,ALGI
17,ASEI
18,AVD
19,AME
20,AMGN
21,AP
22,ADI
23,ALOG
24,ANDR
25,NBR
26,APA
27,ASOE
28,APOG
29,AAPL
30,AMAT
31,ATU
32,TREC
33,ADM
34,ARTW
35,ASH
36,ALOT
37,ATRO
38,ATW
39,REX
40,AVY
41,AVP
42,AZZ
43,PRSN
44,BMI
45,BHI
46,BCPC
47,BLL
48,BCR
49,B
50,BRN
51,ABX
52,BSET
53,BAX
54,CHSO
55,BDX
56,NICH
57,BELFB
58,BMS
59,BENG
60,BIO
61,5938B
62,NIMU
63,ESV
64,BLT
65,BA
66,RFP
67,BRC
68,BRID
69,BGG
70,MSGI
71,BMY
72,BF.B
73,CAL
74,BC
75,MTRN
76,FRTN
77,RUNI
78,CSS
79,CTS
80,CVV
81,CBT
82,CAMP
83,CAEN
84,CPB
85,STZ
86,CSL
87,CRS
88,CAT
89,RFIL
90,CYDI
91,CMN
92,DLPX
93,CKP
94,CLSN
95,CVX
96,CVR
97,CHD
98,CRLI
99,CTAS
100,CLC
101,CLF
102,CLX
103,COKE
104,KO
105,CDE
106,COHR
107,COHU
108,CL
109,CCF
110,CGCO
111,CMC
112,JCS
113,CMTL
114,CAG
115,CNLG
116,CUO
117,CTB
118,COO
119,TAP
120,GLW
121,CR
122,CHMT
123,CCK
124,CRWS
125,CUB
126,CFI
127,CMI
128,CW
129,OXIS
130,DAN
131,DHR
132,DAIO
133,DRAM
134,DWSN
135,DXR
136,VIEWF
137,DE
138,DLX
139,DEWY
140,DBD
141,NSYS
142,DIOD
143,DION
144,DXYN
145,DCI
146,RRD
147,ESCRQ
148,DOV
149,DOW
150,DD
151,DCO
152,FLS
153,DY
154,DYNT
155,DYSL
156,PKI
157,STS
158,EML
159,KODK
160,ETN
161,ECL
162,ESIO
163,ELSE
164,EMR
165,MSN
166,WFT
167,EBF
168,ENZN
169,ETCC
170,ERIC
171,ESCA
172,ESP
173,ESL
174,NEU
175,ESCC
176,EXAR
177,BOOM
178,IIIN
179,XOM
180,FMC
181,FARM
182,FDML
183,FSCR
184,FSS
185,FOE
186,CLBS
187,FLXS
188,FLO
189,FLR
190,F
191,FELE
192,FEIM
193,FRD
194,FUL
195,AJRD
196,GD
197,GIS
198,GM
199,SPXC
200,GNTX
201,GIGA
202,GLT
203,WSRA
204,GDRZF
205,GLDC
206,GV
207,GT
208,GRC
209,GRA
210,GGG
